                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     44,                 2.1887,                 1.9826,                   2.82,                0.28571,                    0.2,                0.17341,                0.05518,                 1.8566,                 42.009,                 3.6419,              0.0011684,              0.0011684,              0.0011684
                     45,                 2.1871,                 1.9746,                 2.8338,                0.28571,                    0.2,                0.17341,                0.05518,                 1.8566,                 42.009,                 3.6419,              0.0011486,              0.0011486,              0.0011486
                     46,                 2.1606,                 2.0507,                 2.7473,                0.08001,                    0.9,                0.14551,                0.07866,                 1.5235,                 39.282,                 3.2574,              0.0011288,              0.0011288,              0.0011288
                     47,                 2.1258,                 1.9963,                 2.6893,                0.13527,                    0.9,                0.24779,                0.12336,                 1.7429,                 21.191,                 3.4338,               0.001109,               0.001109,               0.001109
                     48,                 2.0959,                 1.9719,                  2.749,                0.25235,                    0.3,                 0.3141,                 0.1402,                 1.9028,                 8.0417,                 3.0126,              0.0010892,              0.0010892,              0.0010892
                     49,                 2.0601,                 1.7894,                 2.6073,                0.25235,                    0.3,                 0.3141,                 0.1402,                 1.9028,                 8.0417,                 3.0126,              0.0010694,              0.0010694,              0.0010694
                     50,                 1.8847,                 1.9056,                 2.5815,                0.74504,                0.87816,                0.78765,                0.42521,                  1.855,                 2.8996,                 2.7864,              0.0010496,              0.0010496,              0.0010496
                     51,                 1.8902,                 1.9145,                  2.515,                0.59037,                    0.9,                0.72879,                 0.3741,                 2.0245,                 3.2209,                 3.4081,              0.0010298,              0.0010298,              0.0010298
                     52,                 2.0122,                 2.0104,                 2.7294,                0.62866,                    0.6,                0.68951,                0.32864,                 2.0111,                 3.4588,                 3.3798,                0.00101,                0.00101,                0.00101
                     53,                 2.0428,                 1.8799,                 2.6291,                0.62866,                    0.6,                0.68951,                0.32864,                 2.0111,                 3.4588,                 3.3798,              0.0009902,              0.0009902,              0.0009902
                     54,                 2.1821,                   1.86,                 2.7013,                 0.7912,                    0.9,                0.82711,                0.42946,                 1.6954,                 2.5661,                 2.6947,              0.0009704,              0.0009704,              0.0009704
                     55,                 2.0977,                 1.9114,                 2.6932,                0.74819,                    0.6,                  0.665,                0.33883,                 1.6874,                 2.6221,                 2.4484,              0.0009506,              0.0009506,              0.0009506
                     56,                 1.7779,                  1.845,                 2.5499,                0.58391,                0.56379,                0.58054,                0.26505,                 1.7804,                 2.9639,                 2.4794,              0.0009308,              0.0009308,              0.0009308
                     57,                 2.0355,                 1.7524,                 2.5629,                0.58391,                0.56379,                0.58054,                0.26505,                 1.7804,                 2.9639,                 2.4794,               0.000911,               0.000911,               0.000911
                     58,                 2.0574,                 1.7946,                 2.6115,                 0.8125,                0.86872,                0.92453,                0.49158,                 1.5595,                 2.4124,                 2.2597,              0.0008912,              0.0008912,              0.0008912
                     59,                 1.9694,                 1.7105,                 2.5877,                0.48903,                    0.7,                0.74304,                0.45516,                 1.4493,                 10.415,                 2.1522,              0.0008714,              0.0008714,              0.0008714
                     60,                 1.9741,                 1.6749,                  2.659,                0.21102,                    0.7,                0.70247,                0.42245,                 1.4043,                 15.478,                 2.1197,              0.0008516,              0.0008516,              0.0008516
                     61,                 1.9582,                 1.8832,                 2.6221,                0.21102,                    0.7,                0.70247,                0.42245,                 1.4043,                 15.478,                 2.1197,              0.0008318,              0.0008318,              0.0008318
                     62,                 1.6215,                 1.7123,                 2.4418,                0.42716,                    0.7,                0.69397,                0.42434,                 1.3764,                 9.0781,                 2.0821,               0.000812,               0.000812,               0.000812
                     63,                   1.83,                 1.5949,                  2.525,                0.65637,                    0.7,                0.77085,                0.54914,                 1.2146,                 4.5626,                 1.9248,              0.0007922,              0.0007922,              0.0007922
                     64,                 1.5523,                 1.5086,                 2.3914,                0.58992,                    0.7,                0.74234,                0.54019,                 1.1431,                 2.3767,                 1.8863,              0.0007724,              0.0007724,              0.0007724
                     65,                 1.7522,                  1.438,                  2.433,                0.58992,                    0.7,                0.74234,                0.54019,                 1.1431,                 2.3767,                 1.8863,              0.0007526,              0.0007526,              0.0007526
                     66,                 1.8225,                 1.6951,                 2.4362,                 0.4745,                      1,                  0.595,                0.39296,                 1.1719,                 2.3804,                 1.9268,              0.0007328,              0.0007328,              0.0007328
                     67,                 1.6768,                 1.6241,                 2.3199,                0.41828,                    0.8,                0.51646,                 0.3401,                 1.2294,                  2.806,                 1.9776,               0.000713,               0.000713,               0.000713
                     68,                 1.7705,                 1.6438,                 2.3543,                0.33449,                    0.6,                0.48186,                0.29512,                 1.3044,                 2.8644,                 1.9769,              0.0006932,              0.0006932,              0.0006932
                     69,                 1.6022,                 1.5467,                 2.3028,                0.33449,                    0.6,                0.48186,                0.29512,                 1.3044,                 2.8644,                 1.9769,              0.0006734,              0.0006734,              0.0006734
                     70,                 1.8231,                 1.5406,                  2.547,                 0.5036,                    0.8,                0.61513,                0.38969,                  1.333,                 2.5678,                 1.9553,              0.0006536,              0.0006536,              0.0006536
                     71,                 1.7888,                  1.484,                 2.5189,                 0.5555,                0.99977,                0.78522,                0.45757,                 1.3062,                 2.1238,                 1.9762,              0.0006338,              0.0006338,              0.0006338
                     72,                 1.5399,                 1.3802,                 2.2407,                0.78515,                    0.8,                0.85868,                 0.5467,                 1.2318,                 2.6961,                  1.938,               0.000614,               0.000614,               0.000614
                     73,                 1.7786,                 1.4704,                 2.5176,                0.78515,                    0.8,                0.85868,                 0.5467,                 1.2318,                 2.6961,                  1.938,              0.0005942,              0.0005942,              0.0005942
                     74,                 1.6089,                 1.3698,                 2.2835,                0.82692,                    0.9,                0.86948,                0.61043,                 1.0863,                 3.6043,                 1.7796,              0.0005744,              0.0005744,              0.0005744
                     75,                 1.7503,                 1.4629,                 2.3617,                0.67629,                    0.8,                0.83172,                0.59738,                 1.0818,                 4.2594,                  1.766,              0.0005546,              0.0005546,              0.0005546
                     76,                 1.6679,                 1.4394,                 2.2871,                0.67976,                0.85105,                 0.8555,                 0.6174,                 1.0786,                 3.9959,                 1.7616,              0.0005348,              0.0005348,              0.0005348
                     77,                 1.7011,                 1.5829,                 2.2917,                0.67976,                0.85105,                 0.8555,                 0.6174,                 1.0786,                 3.9959,                 1.7616,               0.000515,               0.000515,               0.000515
                     78,                 1.8032,                 1.4846,                 2.4632,                0.77229,                    0.8,                0.87556,                0.62858,                 1.0921,                 3.4187,                 1.8099,              0.0004952,              0.0004952,              0.0004952
                     79,                 1.5825,                 1.5014,                 2.3993,                0.81241,                    0.9,                 0.8976,                0.57214,                 1.1805,                 2.8746,                 1.8957,              0.0004754,              0.0004754,              0.0004754
                     80,                 1.6124,                 1.4262,                 2.3785,                0.80702,                      1,                0.91167,                0.56916,                 1.2845,                 2.5624,                 1.9665,              0.0004556,              0.0004556,              0.0004556
                     81,                 1.5066,                 1.4568,                 2.3294,                0.80702,                      1,                0.91167,                0.56916,                 1.2845,                 2.5624,                 1.9665,              0.0004358,              0.0004358,              0.0004358
                     82,                 1.4171,                 1.3656,                 2.1796,                0.79968,                0.79856,                 0.8681,                0.50622,                 1.2948,                 2.4195,                 1.9831,               0.000416,               0.000416,               0.000416
                     83,                  1.576,                  1.432,                 2.2712,                0.76774,                    0.7,                0.79002,                0.47773,                  1.285,                 2.2984,                 1.9003,              0.0003962,              0.0003962,              0.0003962
                     84,                 1.3957,                 1.4024,                 2.1913,                0.77503,                    0.8,                0.78583,                0.51244,                 1.2108,                 2.2037,                 1.8057,              0.0003764,              0.0003764,              0.0003764
                     85,                 1.5202,                 1.4941,                 2.2443,                0.77503,                    0.8,                0.78583,                0.51244,                 1.2108,                 2.2037,                 1.8057,              0.0003566,              0.0003566,              0.0003566
                     86,                 1.4747,                 1.3123,                 2.2284,                 0.8146,                    0.7,                0.81013,                 0.5655,                 1.1483,                 2.1272,                 1.7646,              0.0003368,              0.0003368,              0.0003368
                     87,                 1.4982,                 1.3128,                 2.3351,                0.76981,                0.67132,                   0.79,                0.55704,                 1.1119,                 2.1267,                 1.7501,               0.000317,               0.000317,               0.000317
                     88,                 1.3776,                 1.2986,                 2.1537,                0.66593,                0.79757,                0.76889,                0.55778,                 1.0861,                 2.0672,                  1.753,              0.0002972,              0.0002972,              0.0002972
                     89,                  1.548,                 1.4716,                 2.3278,                0.66593,                0.79757,                0.76889,                0.55778,                 1.0861,                 2.0672,                  1.753,              0.0002774,              0.0002774,              0.0002774
                     90,                 1.4905,                 1.4235,                 2.2325,                 0.6893,                0.88826,                0.84358,                0.62412,                  1.055,                 1.9393,                 1.7486,              0.0002576,              0.0002576,              0.0002576
                     91,                 1.2709,                 1.5765,                  2.097,                0.67203,                    0.9,                0.85435,                0.63402,                 1.0276,                 1.8736,                 1.7177,              0.0002378,              0.0002378,              0.0002378
                     92,                 1.1873,                 1.5804,                 2.1121,                0.85173,                    0.9,                0.87848,                0.67178,                 1.0034,                 1.7886,                 1.6917,               0.000218,               0.000218,               0.000218
                     93,                 1.2079,                 1.5351,                 2.0104,                0.85173,                    0.9,                0.87848,                0.67178,                 1.0034,                 1.7886,                 1.6917,              0.0001982,              0.0001982,              0.0001982
                     94,                 1.1776,                 1.6428,                 1.9849,                0.87055,                    0.9,                  0.885,                0.66987,                0.99667,                 1.7633,                 1.6783,              0.0001784,              0.0001784,              0.0001784
                     95,                 1.1429,                 1.5078,                 1.9684,                0.88023,                    0.9,                0.88848,                0.67146,                 1.0001,                 1.7923,                 1.6625,              0.0001586,              0.0001586,              0.0001586
                     96,                 1.1481,                 1.5841,                  1.892,                0.88042,                    0.9,                0.88848,                0.68483,                0.98802,                 1.7939,                 1.6494,              0.0001388,              0.0001388,              0.0001388
                     97,                 1.2165,                 1.5784,                 1.9996,                0.88042,                    0.9,                0.88848,                0.68483,                0.98802,                 1.7939,                 1.6494,               0.000119,               0.000119,               0.000119
                     98,                 1.1091,                 1.5859,                 1.8787,                0.87743,                    0.9,                0.89045,                0.68367,                 0.9799,                 1.8066,                 1.6356,               9.92e-05,               9.92e-05,               9.92e-05
                     99,                 1.1388,                 1.6811,                 1.9137,                0.89892,                    0.9,                0.89262,                0.68471,                0.96137,                 1.7804,                  1.627,               7.94e-05,               7.94e-05,               7.94e-05
                    100,                 1.0814,                 1.5518,                 1.8491,                0.89682,                0.87142,                0.89045,                0.67244,                0.94418,                 1.7408,                 1.6221,               5.96e-05,               5.96e-05,               5.96e-05
